year,scenario,county_id,county_name,state,total_annual_precip_mm,days_above_threshold,mean_daily_precip_mm,max_daily_precip_mm,precip_std_mm,dry_days,wet_days,precip_percentile_95,precip_percentile_99
2090,ssp370,15007,Kauai,,2659.89892578125,36,7.2873945236206055,77.4917221069336,13.37701416015625,153,212,34.63767623901367,64.43063354492188
2091,ssp370,15007,Kauai,,3380.81591796875,52,9.2625093460083,78.46536254882812,13.183606147766113,123,242,35.77330780029297,49.859962463378906
2092,ssp370,15007,Kauai,,1293.5078125,4,3.5438570976257324,36.476680755615234,6.44732666015625,134,231,18.52214241027832,27.375228881835938
2093,ssp370,15007,Kauai,,1408.0821533203125,11,3.8577592372894287,49.8254508972168,7.392432689666748,136,229,18.573902130126953,33.8887939453125
2094,ssp370,15007,Kauai,,1939.7886962890625,32,5.314489364624023,73.32976531982422,11.354426383972168,188,177,29.58133888244629,53.49669647216797
2095,ssp370,15007,Kauai,,3278.78271484375,44,8.982966423034668,83.94004821777344,14.515212059020996,132,233,42.107505798339844,60.310638427734375
2096,ssp370,15007,Kauai,,1393.600341796875,17,3.8180830478668213,48.83748245239258,8.278017044067383,195,170,24.37531089782715,35.0908317565918
2097,ssp370,15007,Kauai,,929.4356689453125,7,2.5463991165161133,51.92595672607422,6.352295875549316,187,178,14.06206226348877,30.89166831970215
2098,ssp370,15007,Kauai,,1168.9698486328125,11,3.2026572227478027,72.31900024414062,7.9394965171813965,192,173,18.420299530029297,38.20595932006836
2099,ssp370,15007,Kauai,,1939.2880859375,23,5.313117980957031,77.353759765625,10.084319114685059,167,198,26.86452293395996,39.0838623046875
2100,ssp370,15007,Kauai,,1065.0361328125,3,2.917907238006592,38.86582565307617,5.3750996589660645,123,242,13.845301628112793,24.167144775390625
2015,ssp370,15009,Maui,,2361.97021484375,32,6.471151351928711,84.95684051513672,12.434283256530762,140,225,35.652828216552734,56.23631286621094
2016,ssp370,15009,Maui,,2003.41357421875,19,5.488804340362549,113.27605438232422,11.309940338134766,152,213,25.992212295532227,48.8425178527832
2017,ssp370,15009,Maui,,2382.88330078125,27,6.52844762802124,88.49480438232422,12.156033515930176,148,217,30.990449905395508,56.84904098510742
2018,ssp370,15009,Maui,,2180.87548828125,23,5.975001335144043,90.66090393066406,12.809162139892578,152,213,28.817262649536133,69.56706237792969
2019,ssp370,15009,Maui,,1040.21435546875,9,2.849902391433716,59.26567077636719,6.936164379119873,182,183,16.828229904174805,31.91265296936035
2020,ssp370,15009,Maui,,2284.796142578125,20,6.259715557098389,53.5263557434082,9.608699798583984,115,250,26.886444091796875,42.17537307739258
2021,ssp370,15009,Maui,,2528.09326171875,25,6.92628288269043,61.151065826416016,10.698320388793945,113,252,27.478424072265625,50.46440124511719
2022,ssp370,15009,Maui,,2039.206787109375,18,5.586867809295654,69.82682037353516,9.856475830078125,97,268,22.83104133605957,54.31356430053711
2023,ssp370,15009,Maui,,1238.7254638671875,8,3.393768310546875,99.90156555175781,9.072274208068848,153,212,11.634600639343262,54.256900787353516
2024,ssp370,15009,Maui,,1294.6214599609375,9,3.546908140182495,62.02733612060547,7.208920955657959,129,236,15.547083854675293,36.8309211730957
2025,ssp370,15009,Maui,,2216.8203125,25,6.073480129241943,69.5431137084961,11.627269744873047,125,240,29.728273391723633,59.467525482177734
2026,ssp370,15009,Maui,,968.076171875,7,2.6522634029388428,51.240787506103516,6.382556438446045,177,188,13.27938175201416,34.25044631958008
2027,ssp370,15009,Maui,,1395.3775634765625,9,3.8229522705078125,69.38167572021484,7.943174839019775,186,179,21.239994049072266,33.58537292480469
2028,ssp370,15009,Maui,,1542.320068359375,12,4.225534439086914,86.77039337158203,8.943750381469727,125,240,19.436613082885742,45.44934844970703
2029,ssp370,15009,Maui,,1637.587646484375,15,4.486541271209717,64.26618194580078,9.1774320602417,146,219,23.671043395996094,45.142860412597656
2030,ssp370,15009,Maui,,1485.8800048828125,21,4.07090425491333,56.06817626953125,9.377700805664062,169,196,27.582725524902344,45.9697151184082
