year,scenario,county_id,county_name,state,mean_annual_temp_c,min_temp_c,max_temp_c,temp_range_c,temp_std_c,days_below_freezing,days_above_30c,growing_degree_days,cooling_degree_days,heating_degree_days
2031,historical,15007,Kauai,,24.420591354370117,20.867332458496094,26.826744079589844,5.95941162109375,1.4351850748062134,0,0,5263.515625,2343.515625,0.0
2032,historical,15007,Kauai,,24.762371063232422,20.773277282714844,26.98909568786621,6.215818405151367,1.2967787981033325,0,0,5388.26708984375,2468.2666015625,0.0
2033,historical,15007,Kauai,,24.7706356048584,21.073883056640625,27.521602630615234,6.447719573974609,1.4144867658615112,0,0,5391.283203125,2471.283203125,0.0
2034,historical,15007,Kauai,,24.66033363342285,20.99667739868164,27.39750862121582,6.40083122253418,1.5196194648742676,0,0,5351.0205078125,2431.0205078125,0.0
2035,historical,15007,Kauai,,24.534080505371094,21.48207664489746,26.44860076904297,4.966524124145508,1.0533578395843506,0,0,5304.93896484375,2384.939453125,0.0
2036,historical,15007,Kauai,,25.158470153808594,22.15068817138672,27.25345230102539,5.102764129638672,1.100513219833374,0,0,5532.841796875,2612.84228515625,0.0
2037,historical,15007,Kauai,,24.46188735961914,21.009395599365234,26.306949615478516,5.297554016113281,1.1389973163604736,0,0,5278.5888671875,2358.589111328125,0.0
2038,historical,15007,Kauai,,24.154756546020508,20.226369857788086,26.497310638427734,6.270940780639648,1.3210901021957397,0,0,5166.486328125,2246.48583984375,0.0
2039,historical,15007,Kauai,,23.626216888427734,19.105661392211914,25.835893630981445,6.730232238769531,1.1864386796951294,0,0,4973.56982421875,2053.56982421875,0.0
2040,historical,15007,Kauai,,24.504596710205078,19.78304100036621,26.90982437133789,7.12678337097168,1.6771994829177856,0,0,5294.177734375,2374.17822265625,0.0
2041,historical,15007,Kauai,,25.61457061767578,22.407127380371094,28.177682876586914,5.77055549621582,1.4128127098083496,0,0,5699.31787109375,2779.31787109375,0.0
2042,historical,15007,Kauai,,24.915416717529297,21.432987213134766,27.575124740600586,6.14213752746582,1.3988418579101562,0,0,5444.12744140625,2524.12744140625,0.0
2043,historical,15007,Kauai,,24.999267578125,20.64430809020996,27.55191421508789,6.90760612487793,1.6282823085784912,0,0,5474.732421875,2554.732421875,0.0
2044,historical,15007,Kauai,,25.31878662109375,20.97420883178711,27.12871551513672,6.154506683349609,1.111314058303833,0,0,5591.35791015625,2671.358154296875,0.0
2045,historical,15007,Kauai,,25.217647552490234,22.32379150390625,27.119184494018555,4.795392990112305,1.0172536373138428,0,0,5554.4423828125,2634.442138671875,0.0
2046,historical,15007,Kauai,,24.92943572998047,21.277828216552734,27.20989227294922,5.932064056396484,1.2647229433059692,0,0,5449.24462890625,2529.24462890625,0.0
2047,historical,15007,Kauai,,25.395837783813477,20.869314193725586,28.08595085144043,7.216636657714844,1.698163390159607,0,0,5619.48046875,2699.48046875,0.0
2048,historical,15007,Kauai,,25.930500030517578,21.92779541015625,28.464500427246094,6.536705017089844,1.5528455972671509,0,0,5814.63330078125,2894.63330078125,0.0
2049,historical,15007,Kauai,,25.669729232788086,21.906856536865234,28.976966857910156,7.070110321044922,1.6738864183425903,0,0,5719.4521484375,2799.451904296875,0.0
2050,historical,15007,Kauai,,25.592636108398438,19.746036529541016,28.372915267944336,8.62687873840332,1.9269928932189941,0,0,5691.31298828125,2771.31298828125,0.0
2051,historical,15007,Kauai,,26.77240562438965,22.09895896911621,28.86810302734375,6.769144058227539,1.3572789430618286,0,0,6121.927734375,3201.927734375,0.0
2052,historical,15007,Kauai,,26.079593658447266,22.607797622680664,28.29148292541504,5.683685302734375,1.2922241687774658,0,0,5869.0517578125,2949.051513671875,0.0
2053,historical,15007,Kauai,,26.01399803161621,21.25841522216797,29.432472229003906,8.174057006835938,1.9780194759368896,0,0,5845.1083984375,2925.108642578125,0.0
2054,historical,15007,Kauai,,25.82327651977539,21.58898162841797,28.482099533081055,6.893117904663086,1.6741158962249756,0,0,5775.49609375,2855.495849609375,0.0
2055,historical,15007,Kauai,,26.378082275390625,22.20465087890625,29.15935516357422,6.954704284667969,1.794299602508545,0,0,5977.9990234375,3057.9990234375,0.0
2056,historical,15007,Kauai,,25.79688262939453,20.77692985534668,28.557151794433594,7.780221939086914,1.6589763164520264,0,0,5765.8623046875,2845.8623046875,0.0
2057,historical,15007,Kauai,,25.903268814086914,22.32175064086914,28.420053482055664,6.098302841186523,1.347025990486145,0,0,5804.69384765625,2884.69384765625,0.0
2058,historical,15007,Kauai,,24.81600570678711,21.67098617553711,27.00575065612793,5.33476448059082,1.0899062156677246,0,0,5407.841796875,2487.841796875,0.0
2059,historical,15007,Kauai,,25.555742263793945,21.366783142089844,27.894161224365234,6.527378082275391,1.4257479906082153,0,0,5677.845703125,2757.845947265625,0.0
2060,historical,15007,Kauai,,25.701663970947266,20.93132781982422,28.50056266784668,7.569234848022461,1.5119142532348633,0,0,5731.1083984375,2811.1083984375,0.0
2061,historical,15007,Kauai,,25.891939163208008,20.34749984741211,29.13051986694336,8.78302001953125,1.8180569410324097,0,0,5800.5576171875,2880.55810546875,0.0
2062,historical,15007,Kauai,,25.7581729888916,20.69606590270996,28.256540298461914,7.560474395751953,1.6776069402694702,0,0,5751.7333984375,2831.733642578125,0.0
2063,historical,15007,Kauai,,26.409072875976562,21.871803283691406,28.395647048950195,6.523843765258789,1.4182907342910767,0,0,5989.3115234375,3069.3115234375,0.0
